name,description,era,what_happened,question_variations
"Anuradhapura Kingdom","The first and longest-lasting capital of ancient Sri Lanka, known for advanced irrigation, massive stupas, Buddhist culture, and over 1,400 years of continuous civilization.","377 BC - 1017 AD","• Founded by King Pandukabhaya in 377 BC|• Became center of Buddhist learning and culture|• Built massive stupas like Ruwanwelisaya and Jetavanaramaya|• Developed advanced irrigation networks such as Abhaya Wewa and Tissa Wewa|• Home to sacred Sri Maha Bodhi|• Great kings like Dutugemunu and Mahasena strengthened the kingdom|• Flourished as political, cultural, and spiritual heart of Sri Lanka.","What is the Anuradhapura Kingdom?|Tell me about Anuradhapura Kingdom|Explain Anuradhapura Kingdom|Describe the Anuradhapura Kingdom|History of Anuradhapura?"
"Polonnaruwa Kingdom","Second major capital of Sri Lanka, known for Parakramabahu’s engineering marvels, stone sculptures, and carefully planned urban structures.","1070 AD - 1310 AD","• Became capital after fall of Anuradhapura|• King Vijayabahu I liberated island from Chola rule|• King Parakramabahu I unified the country|• Built Parakrama Samudraya, one of world’s largest ancient reservoirs|• Created Gal Viharaya masterpieces|• Advanced city planning and irrigation defined the era.","What is the Polonnaruwa Kingdom?|Tell me about Polonnaruwa|Explain Polonnaruwa Kingdom|Describe the history of Polonnaruwa|What happened in the Polonnaruwa era?"
"Ruhuna Kingdom","A southern Sinhalese kingdom known for producing great warriors and kings, including Dutugemunu.","3rd century BC - Medieval","• Located in southern Sri Lanka|• Stronghold of resistance during foreign invasions|• Birthplace of King Dutugemunu|• Flourished as a regional power controlling trade and agriculture|• Played major role in rebellions against Anuradhapura and foreign rulers.","What is the Ruhuna Kingdom?|Tell me about Ruhuna|Explain Ruhuna Kingdom|Describe Ruhuna history|Where was the Ruhuna Kingdom?"
"Kotte Kingdom","A powerful medieval kingdom known for its fortified capital, cultural revival, and influence on literature and arts.","1412 - 1597","• Founded by King Parakramabahu VI|• Achieved unity of entire island during his reign|• Home to poets like Thotagamuwe Sri Rahula Thera|• Faced conflict with Portuguese later|• Became a major center of literature and trade.","What is the Kotte Kingdom?|Tell me about Kotte Kingdom|Explain Kingdom of Kotte|Describe Kotte era|History of Kotte?"
"Kandy Kingdom","The last independent Sinhalese kingdom, known for resisting European colonizers and protecting Buddhist heritage.","15th century - 1815","• Formed after decline of Kotte|• Maintained independence against Portuguese, Dutch, and British|• Built Temple of the Tooth Relic|• Mountainous terrain protected the kingdom|• Fell to the British through Kandyan Convention","What is the Kandyan Kingdom?|Tell me about Kandy Kingdom|Explain Kandyan Kingdom|History of the Kandy Kingdom|Describe Kingdom of Kandy"
"Jaffna Kingdom","A Tamil kingdom in northern Sri Lanka known for maritime trade, culture, and political influence in the region.","1215 - 1624","• Established by Aryacakravarti dynasty|• Capital at Nallur|• Strong maritime trade with South India|• Produced rich literature, temple culture|• Fell to Portuguese in 1624.","What is the Jaffna Kingdom?|Tell me about Jaffna Kingdom|Explain Tamil Jaffna Kingdom|Describe Kingdom of Jaffna|History of Jaffna Kingdom?"
"Sitawaka Kingdom","A short-lived but powerful kingdom known for its military strength under King Rajasinghe I.","1521 - 1593","• Formed after Vijayabahu VII's sons divided Kotte|• Sitawaka rose under King Rajasinghe I|• Strong resistance against Portuguese|• Expanded control over central Sri Lanka|• Declined after king’s death.","What is the Sitawaka Kingdom?|Tell me about Sitawaka|Explain Sitawaka Kingdom|Describe Kingdom of Sitawaka|History of Sitawaka?"
"Dambadeniya Kingdom","A medieval kingdom known for safeguarding Buddhist texts and resisting foreign invasions.","1220 - 1293","• Established by King Vijayabahu III|• Restored Buddhism after Chola invasions|• King Parakramabahu II strengthened literary culture|• Capital moved from Polonnaruwa to Dambadeniya for safety.","What is the Dambadeniya Kingdom?|Tell me about Dambadeniya|Explain Dambadeniya Kingdom|Describe Kingdom of Dambadeniya|History of Dambadeniya?"
"Kurunegala Kingdom","A capital that emerged after decline of Dambadeniya, known for elephant rock and strategic location.","1293 - 1341","• Ruled by King Bhuvanaikabahu II|• Important administrative center|• Protected Buddhist heritage|• Transition period between Dambadeniya and Gampola eras.","What is the Kurunegala Kingdom?|Tell me about Kurunegala Kingdom|Explain Kurunegala era|Describe Kingdom of Kurunegala|History of Kurunegala?"
"Yapahuwa Kingdom","A fortress kingdom built on a rock, known for its magnificent stone staircase and defensive structures.","1272 - 1284","• Built by King Bhuvanaikabahu I|• Served as temporary capital|• Contained Tooth Relic for a time|• Powerful fortress resisted invasions","What is the Yapahuwa Kingdom?|Tell me about Yapahuwa|Explain Yapahuwa Fortress Kingdom|Describe Kingdom of Yapahuwa|History of Yapahuwa?"
"Gampola Kingdom","A hill-country kingdom known for temple construction and Buddhist revival.","1341 - 1412","• Established by King Bhuvanaikabahu IV|• Built Lankatilaka and Gadaladeniya temples|• Faced threats from Jaffna and foreign invasions|• Led to rise of Kotte after decline.","What is the Gampola Kingdom?|Tell me about Gampola Kingdom|Explain Gampola Kingdom|Describe Kingdom of Gampola|History of Gampola?"
"Pandyan Influence Era","Period when South Indian Pandyan rulers exerted political and military influence over Sri Lanka.","Early medieval","• Pandyan forces invaded northern Sri Lanka|• Led to cultural exchanges|• Some kings ruled under Pandyan control|• Significant impact on trade and administration.","What is the Pandyan influence in Sri Lanka?|Tell me about Pandyan rule|Explain Pandyan impact|Describe Pandyan era in Sri Lanka|History of Pandyan influence?"
"Chola Occupation","A period of South Indian Chola rule over Sri Lanka, marked by major administrative and cultural changes.","1017 - 1070 AD","• Rajendra Chola I invaded Polonnaruwa|• Captured King Mahinda V|• Introduced Indian administrative systems|• Built temples and strengthened trade|• Ended by Vijayabahu I who reclaimed sovereignty.","What is the Chola occupation?|Tell me about Chola rule in Sri Lanka|Explain Chola period|Describe Chola occupation history|When did Cholas rule Sri Lanka?"
"King Pandukabhaya","Founder of Anuradhapura and one of the most influential early Sinhalese kings.","4th century BC","• Unified regional clans|• Built first planned city of Anuradhapura|• Constructed reservoirs and shrines|• Established stable administration.","Who was King Pandukabhaya?|Tell me about King Pandukabhaya|Explain Pandukabhaya|Story of King Pandukabhaya|Achievements of King Pandukabhaya?"
"King Devanampiyatissa","The king who welcomed Buddhism to Sri Lanka during the time of Arahat Mahinda.","247 BC","• Met Arahat Mahinda at Mihintale|• Converted to Buddhism|• Declared Buddhism state religion|• Strengthened ties with India.","Who was King Devanampiyatissa?|Tell me about Devanampiyatissa|Explain King Devanampiyatissa|What happened during Devanampiyatissa's reign?|Story of King Devanampiyatissa?"
